,0,1,2,3,4,5,6,7,8,9,10,11
17,HGFDBAB,BGHEDBC,FGBBAFG,ABCEGGG,ACFGGFB,HGFEDBA,BBBCEGH,FHGECBA,HGECBBC,BBBEEFH,GGGCADC,HGFCABE
18,DGGGDCA,GDFBAFG,DACHGEB,HFGFCBA,FBBEHDF,ABCEFGH,GGGECBA,HGFCABC,BBBCFGH,ABEEGFH,HHFDBBB,GCGEECB
19,BEEDCCH,EFFEFDA,HFDCECA,BBCCEFH,AADEFGH,ABCEFGH,HFCBBCD,ABCHFGF,HGFECAA,HGFBBBB,EGFABEF,AEGBGFE
20,BBCFHFC,ABDFGGF,HGEBACE,EHGDDCA,GHGDCAA,ABCEFGH,ABCEHGF,HGFECBA,FDBADGH,ABEFHFD,ACDDFFH,HGFDBBB
21,HGFDBBB,ABCFGGG,BCBDGHE,EEGEGCA,GGFEDBA,GCABDGH,ABCFHGE,HGFECBA,ABCEFGH,AADEGGG,HFDDBFB,HGEDECA
22,FDBACGH,GEBABFH,HFCBADG,HHEBACC,EHHEBAB,DFHGDAA,BBDEDEH,FGBACGE,DBDGHDA,FCDFHDA,BABEGGG,BBEFHCF
23,ACGHFFB,HHGDBAC,AEGGEBD,FDCBBEH,CHHFDBA,HGEBABE,HHFCABC,ABDFFGG,HGEDBBB,AAEGGGE,GHGEBAC,BFGCADH
24,AADFGGG,HGFDCBA,HGFDBBA,ABCDFGH,ABDFGGG,HGFEDBA,FEHEABD,ABDFGGG,GGGEDBA,HGDCBBB,ABCEFGH,ABCEFGH
25,ABEFGGG,HGFDCBA,HGFDCBA,ABBDFGH,ABDFGGG,HGFEDBA,GGGCABD,ABCEFGH,GGGFDBA,HGECBBB,ABCDFGH,ABCEFGH
26,AEGGFCA,HGFDBBA,HCDDCEB,GEFEAAG,ABCEFGH,FGGAADF,GHGECBA,AAEGGFE,HGCBBCE,ADDDDGH,HHCCBBD,ABDEFGH
27,GGGDABC,FEDFGCA,HGFABDC,ABBDFGH,ABDEFGH,CCBDHGD,HGDBBCE,ABDDGFH,FGGEEBA,HGFDCBA,GEBABFH,ABCDFGH
28,HGFCBBC,EEEGFCA,HFCDCCB,EGFFFBA,EGEDABH,DEGHFBA,GEBABFH,ABEFFGG,BDGGHBB,HEEDACE,GDBCBGG,BEGGGFA
29,ADFEFFF,ABEFEGG,BEDHEEB,FGGFDBA,HGFDBBB,ABCEFGH,ABFHGEC,HGFECBA,AACDFGH,HHFDCBA,HGECABD,BAECHGG
30,ACFGHEB,HGFDCBA,HHFDBBB,AACEGGH,ABDEFGG,HGEBABE,GHGDBBA,ABEFFGG,GGGEDBA,HGFDCBB,ABCDFGH,ABCDFGH
31,ABEGHFE,HGFDBAC,FGGFDBA,ABCEGGG,GGGFCAA,EFGGFBA,ABCEGHG,ECAAEGH,HGFCBBB,HHDABCD,FFGGEBA,ABDFGFG
32,HGFEBAA,ABDEGGF,EDHGEBA,GGGFCBA,DCBCCDH,ABCEGHG,HGFDCBA,ABDFFGH,ACFGGFD,GGGFDBA,EBBBFGH,CDGEGEA
33,FDEHFBA,BEHHEBA,BEGHFBA,ABEGHFC,ABCEGHF,EABBEHH,DBACFHH,ADFDCFH,FCDABFH,HHFDBBB,EGHFCAA,ABFEDGG
34,HHFCABB,BBCCDHH,CEGDBDH,HDDBGEA,GGGEDBA,CABDFGH,ABDGHFE,HGFECBA,ABCDFGH,ABEEGHF,GFGFEAA,HHECCBB
35,HGFDBBB,BDCCBHH,HFDCCDC,BABEGGH,BBCDEGH,ABBDFHH,HHDBBCC,BGHECBC,HGFDBBA,HEEDCCB,FEGEDDA,DCGEGDA
36,BACCFHG,ABDDFGH,FFGGBAE,HGFDEBA,BABDFGH,ABCEFGH,GHGDCBA,HGFECBA,BABDGHH,ACEGHEB,ACGGCDG,HGFECAB
37,HGDCACG,EBDGEBG,BADDDHH,DDFGGFA,HGFECBA,FDABDGH,ABEHGFC,HGEBABD,ABCDFGH,GHECDCB,GDCBBFH,GBGFDBB
38,FGGFCBA,HHFCBBC,CAAEHGF,AEGFEBG,HGFDCBA,HGGECAB,ABCFHGF,HGEBBCB,HGDBABG,BFHFDAE,BEHBBDH,ABCDEGH
39,ACFGGFD,FHGDAAD,HHDBBCC,BBBCEHH,HGFECBA,CEGHGCA,CBBCEGH,EHGFCBA,CCHHBCD,CBBDFHG,BCDBDHH,BABEGHG
40,ABDDEHH,EBACGGF,HGECABE,CGHGECA,HEBACFH,GFBACFH,BBBDGHH,CDHGECA,GGGFDBA,ABDFGGF,HEAADFG,CBACFHH
41,HGDDDAB,ACCCEHH,HFFGCAB,ABDGHFC,FHFBADF,HGEDDBA,HHFCBAC,ABCEFGH,HGFECBA,BABEFGH,HFABEFC,EGHFCAA
42,ABCEEHH,BHDFCCD,HGFEDAA,HGFCBBB,ABCEFGH,ABCEFGH,ABCFGGG,HGFEDBA,HGFDCBA,BBBDFGH,AEGGGCC,DGFDFDA
43,GGGFCBA,HGECCBB,HFDAADG,ABCEFGH,ABEFFFH,FGGFEBA,ABEHGED,ABFGGFD,HDACFFD,HFCACDE,BBBEEGH,ABCDFGH
44,CCHFCEB,BABDGHH,FEBACGH,CABDFHG,HGFECAA,HHFECBA,ABCDFGH,FHGECBA,AADGFFH,BBCEHHC,BADDGGG,HGEAACE
45,ABBFHGE,AADGHGF,ECABEGH,HGFDCBA,AADFFGH,ABCEFGH,HGEDCBA,DEBBCGH,HHGDBAB,ACFGGFB,BABDFGH,HGBABEF
46,CBCCHGE,ABCEGHG,GDEHEAA,GHFEBAB,HGEBBCD,ABCEFGH,DFHGDBA,HGFECBA,BABEHGF,BFHFBBE,CABDEHG,HGDABCE
47,FEGGBAE,ABEFHFE,AAEEDGH,HGFECBA,DBACFGH,ABCEFGH,HHFDBBA,HGFEDBA,ABCEFGH,GHFBBCB,GDBBCEH,HGEEDAA
48,GHGCCBB,HHFDCBA,ACCCFHH,BBFHGEA,FECGGEA,EDCABGH,BDHHEBB,HGECCBB,HGECABC,ABCDEGH,FDAADHG,ADEGGCD
49,GGGFCAA,GGHEBBA,AAEEFFH,ECBAEHG,HFCCECA,HGFDCAA,ABCEGGG,HGFDCBA,HGECABD,ACDDCEH,CHCCFEB,ABCCEGH
50,AABFGGG,ECADHGE,BEGGFCA,HGFDDBA,BBBDFGH,ABCEFGH,BEHHDBA,HGFEDBA,HGECCBB,ACCDFGH,GHGCBBB,GEBEGEB
51,ABCFEGH,EBDHGCA,AAEGGFE,FEBABFH,FCAFGFE,HGFECAB,ACGHFCB,AADEFGH,GGGECBA,HGFDBAD,DFGGFBA,ABFGGDE
52,ECEHGCA,CGHGDBA,DFHGDBA,ACGHGDB,ABCFHGD,BBDCFHF,CABCFHH,ACFEDGH,DBACFHG,HFBABFF,ECABEHH,FCABDGH
53,ABEFGGG,HFDBCBF,ACEGGFB,HGFDCAA,ABCEFGH,ADFGGEC,ABFHFDD,CFGHFCA,HGFECBA,ABCEFGH,GGGEDAA,BCBCFHG
54,HGFDBAB,AADFEGG,AFCDEEG,AEFHDEC,ABCDGGH,ABCEGGG,AGEFFCE,GFFEECA,HGFEDBA,HHEDBCA,HGFCCCB,FHFEEAA
55,ABFGGGD,EGHGCAB,FEBACGH,HGECBBD,ACGHGDB,HGFECAA,ACFHGDB,ABCEFGH,FGGFDBA,BBDGHGB,EAADFGH,BDCBEGH
56,FGFEFBA,HGDGBAC,DBACHGF,CEGHFCA,ABBDGHH,ECBADGH,CEHHEBA,HCABDFG,BBBDFGH,EGHEBBA,HGDCEBA,ACBEGFG
57,ABBDFHH,HFCFDBB,HGDBBCB,HGEDBBB,BBBCEGH,ABCEFGH,EGHFDBA,GCBADFH,BBBCFGH,EGEGGBA,HHFDBBB,ADGHEFC
58,BBBBFHH,ECBBDGH,GGFFCAA,HGECABD,DBACEGH,ABCEFGH,BDHHECA,HGFDCBA,HGFEBAD,ABCEGGG,HGEBABD,CEGGGCA
59,FGGFDAA,ABCEGGG,FEGGEBA,HGFECBA,HGDCCBB,ABCEFGH,BEHHEBA,HGFDBAC,ABCEGGG,GHGDCBA,GGGEBBA,ABDEFGG
60,BDFFEAG,BGEADGF,ACGGGEB,HHFDCBA,ABCDFGH,ABDEFGH,BDHHDCA,GGGECBA,HGECBBC,ABCDFGH,GHGCABC,HHFCCBA
61,EGGEBAG,GHGECAA,ABFGGFD,HGDBBBE,ABEGGFD,HFCBBCD,BBBDFHH,GGGECBA,BABDFGH,HHFDBAB,ABDFGGF,BABDFGH
62,HGFDBBB,ACCBDHH,AACEFGH,BCHFGDA,HGFECBA,ABCEFGH,ABEHGEC,HGFECBA,CBBCEGH,ABEFFGF,FGGGCAA,HGFEBBA
63,BEHGFCB,HGCFBBC,ECBDHEE,HGFECAA,DBBCDFH,ABCEFGH,EGHGDBA,HGFEDBA,CCBBCGH,ABDDFGH,GHECCDA,CFHCDFB
64,HGFDBBB,HGFCBBB,DGGCBBF,BACDEGH,ABDEGGG,BDFHGCA,GCACFGF,ECFGFCA,HGGECAA,BCCFHDF,ABEEHEE,GDDFGBA
65,ABEEHGF,HGECBBB,ACBDEGH,GGGECBA,GCCGGAF,ABDEFGH,AACFGGG,HGFEDBA,HGFECBA,ABCEFGH,DGGGCAB,BBBFHGC
66,AACEGGH,ABEHFFD,EFHEEAC,HGEDDBA,GCABDGH,ABCEFGH,EGHGDBA,HGFECBA,FCABDGH,AADDFHH,AEBEFHC,DFFFFEA
67,BBBCFHH,HGFEDAA,GHFDCBA,HFFEEAA,CAEECGH,BHFDEBC,BBBCEGH,ADHGECB,GGGFDBA,HGFDCBB,DCADHEG,ABEEGGG
68,GHGECAA,EEEFFDA,ACFEDFH,ABCDFHH,ABDEFGH,DHGABEE,HFCABDF,BAFFGEF,GHFBDCA,FEEFGBA,HHCDCBB,BDGGFEB
69,ABEGGFF,HGECBBB,GFDGFBA,HHFDBBB,BBBCFGH,ABDEFGH,ACGHFCB,GGFFDBA,HGFDCBA,BBAEFHH,ABCEEGH,AACFFGH
70,HFDCBEA,BABDGGH,HFDCFDA,ABEHGEC,HGDBCDB,HEBACEG,ABCEGHG,HGFDCAB,ACCBEHH,EGHGCAB,BEBBDHG,HGFCBBC
71,FGGFCBA,HGECBBC,HGDABDE,AACDGGH,ABFFFGF,GGFEDBA,DCBBDFH,HDACDEF,GGGEDBA,HFECCCB,AAFFFFG,ABDEFGH
72,HGGEBAC,FHEBCBF,CGBCFGE,GDBGBEE,ABCEFGH,ACDDFHG,HGDBCCD,ACFGGED,HGFDCBA,HHEEBBA,BBDDGDG,ACEFGGC
73,ADGGFEB,HGDCEBC,CHGFCEA,HGFDCAB,ABCEFGH,ABDFGGG,GHGDBBA,HGFECAA,HGDABCF,ABDEEGH,DBGGBGC,DEHDBFB
74,FGGFCAB,BBBGGGF,AGFECFD,FGGFEAA,HGEDCBA,CABCFGH,ABCEGHG,HGFECBA,CBBCEGH,ACBFFGH,HFCDBCD,DECAEDH
75,ABDFGGG,HGFDCBA,HHFCBBB,ABCDFGH,ABDFGGG,HGFECBA,FEHDABE,ABDFGGG,GGGEDBA,HGDCCBB,ABCDFGH,ABCEFGH
76,ABFGGHC,HHFCABD,GHGECBA,ADFGFEF,ACGHGDC,HFBACEG,HHFDCBA,ABDEFGH,HHFDCAA,ABFGGCD,GGCABEG,CBBGHDE
77,ABCEFGH,HHFDCBA,HHFDBBA,HGDBBCD,BABDFGH,ABDEGGG,CEHGDBA,HGFEDBA,HGCBBED,GGFBACG,CGFACCH,ABFGDGG
78,GGEABEF,GHFDBCB,HHEDCBA,BBCCEGH,ABCEFGH,BBCFHHB,HGECBBB,ABCEFGH,EECHGAB,GGDFDAC,CEDCFHA,EDGFECA
79,GGGEBBA,HFDEDBA,BAEEDEH,CDBDHHC,GBBFGFB,HGEBBBC,ABCEGGG,HGFECBA,HGECBBC,ABBDGGH,HCDFECB,BADDFGH
80,ABCEHGF,DGGFDBA,ABEGGFE,HFCAADG,HHFBBBC,ADFCCGH,ABBEHGG,HGEDCBA,HGCABDF,HHEBACE,ACFGHEB,ACEGHFB
81,DGFGFBA,HFGBACE,AAFEDFH,DFCFHFA,DABDGHF,HHFCBAC,ABDGGFE,HGDDCBA,HGFCBBB,BCBBEGH,CADHHDD,CFACGEG
82,DCCGDHB,HGDFEAA,HGFCCCA,HDDFDBB,ABCEGGH,ABCEFGH,HHFDCBA,AACEGGH,CCCCCGH,FEAAEHE,GGGEAAB,AADEFGH
83,GHGECBA,DCCBCGH,ABDEEGH,CCDDGHB,GFGFDAA,ABCEFGH,BDGHFCB,HGFECBA,ABCDFGH,ABDEFGH,HHDDBBB,HGDDBBC
84,DBEDHFB,ABDEGGG,GEHGBAC,GGGEDBA,CFHHDBA,ABCDFGH,ABCEGHG,HGFECBA,DCABEHH,BDGEADH,ABDHCDG,HGFFCAA
85,HGFDBBB,ACCEEGH,ACDEFGH,ABCDFHH,GGGFDBA,GEDFGCA,HGECBAC,ABCEFGH,ABDFGGG,HGEDCBA,GGGEDAA,HHFBCCA
86,FGBBFBG,GGGEBBA,ABCEEGH,FCDGGCA,HCABFGF,HGFCBBD,ABCFHGF,HGEDCBA,HGFDBBA,ABEFEEH,BDADHGE,CGEEGBB
87,ABDFGGG,HGFECBA,HGFDBBA,BBBDEGH,ABDFGGG,HGFECBA,FEHEABF,ABDFGGG,GGGFDBA,HGEDBBB,ABCDFGH,ABCEFGH
88,HHFCBBB,FHGDADB,BACDFFH,ABEFHGD,BBBBDGH,ABBCFHH,HGCBBCD,AADGGGD,FFFGDBA,HGGEBBB,HFDFCDA,ABECGFG
89,BFGGEBC,HFCDDBC,DCBBCHH,GGFEFBA,ABBEFGH,ABCEFGH,GHGDCBA,HGFDCBA,DBACFGH,AACFFGG,HGDBBCB,FFHFDAA
90,ABDDFHG,DACHGEC,HFCBADG,FGGFDAA,ABCFGGG,AADEGGG,GHHEBBA,DCCCBGH,HGDBACF,GGGEBAB,ABDFGGF,BABDFGH
91,AACDGGH,DCBFHEB,DGDDBGB,GFGFBAB,HGECBBC,ABCEFGH,ACGHFDB,HGFECBA,DABCEGH,ABBEFGH,CHDCGDB,CEHEDEA
92,AACFGGG,GCGCFDB,GFFFDAB,HGFECBA,HEAACEG,ADGHDBE,ABBCFGH,AEEHFEB,GGGEDBA,HGEBBBB,HCBBFFF,ADEEGCG
93,FGHEBCA,GHDFDBB,EDCABHH,GEHFCCA,HEDBBBF,ABCEFGH,GHGDBBA,HGFECAA,BBCDFGH,GCEEEFA,CADGDEG,BBBDGFH
94,ABDEFGH,HGFDBBA,HGFDBBA,CBBCDFH,ABCEFGH,GGGEBBB,DFHGDBA,AAFGGFE,HGFDCBA,DBABFHH,AEFDBEH,ABCFGGG
95,ABEGGGF,HGFDCBA,AACEFHG,HGFECAA,ABCEFGH,DFGGFBA,AADGGFG,ACFGGED,HGFECBA,ABCDFGH,HGFEBBA,ABCEFGH
96,GGGEBAA,HGECBBB,GGEBBCF,ADBCFGH,AACEFGH,EFGCADH,GHGDCBA,AEFFFFF,GGGEDAA,HFFEEBA,CBCCDGH,ABCDDGH
97,BDFDBDH,GGGECBA,ADGHGDB,FCABDGH,GGGECBA,ABBEGGH,ABBDFHH,GGGFDBA,HHFCABC,GGGFCAA,ABDFGGE,BACEGHF
98,FCBBBHH,AADGHFE,DEHGDAB,EHHEBBA,GGGEBAA,ABCEFGH,ACFHGEB,HGFECBA,AACGGFH,CCFHGCA,ADGDDEH,HHFCBBB
99,ABGGGEC,HGFCBBB,BBBDEGH,HGFDBAB,ABCEFGH,ABDGFFG,HHECBBB,EEGGFDA,ECBBCGH,ACDFFGF,HGFDBBB,ABBDFGH
100,FGGFEBA,HHECBBB,BCBBDHH,ABCEFGH,ABCDFGH,HHGCBBC,GGGECBA,ABCFFGH,FGFFEDA,BABEFGH,CCECBFH,ABCFGGG
101,ABBDGGH,DCGDGBE,BBGDBHF,GHGECBA,CABDFGH,ABCEFGH,FGHFCBA,HGFEDBA,HGDBBDC,ABCDEGH,ABGEGCF,BBGGHEB
102,HHFCBBB,FFGAFCC,ECBCFFG,ACCGFDH,CABEHDH,CEFEADH,GEAAEFG,ADEGGDC,GGGEDAA,HHEDBBB,GEGCBCC,DGEEDEA
103,DCABGHF,DGHCAED,CABFHGF,ABEFEGH,DCADGHC,GFGGDBA,CBDGHEB,BBBDFHH,HFCBADG,FGGFCBA,ABCFGHF,FBABDGH
104,DBBCCHH,AACDFHG,CCGCBEH,GGFABFB,HFBACFG,ABCEFGH,GHGDCBA,HGFECBA,AACEGHG,BBCGHFB,ACGFDFG,HGFDBAB
105,GGGECAC,BBBCFHG,HGECBBB,ABBDFGH,ABDEFGH,ABCFFHG,HGECBBB,ACDFEGG,HGFECBA,HDCEBEC,FGBBBEH,HEBCCDD
106,AADFGGG,HGDDDBB,GGGFDBA,GDBBCFH,ABDEFGG,GGGFDBA,GGGCBBB,ABDFGGG,HGFECBA,BBBDFGH,ACFFGFF,ABCDFGH
107,BDDBHHC,GHFCABE,HGFECBA,ABCDFHH,GGEBACG,GFFGEBA,HGEDCBB,ABCDFGH,DFGGEBA,HEBACEG,ABDFGHF,HEAACFG
108,ABEFGGF,HGFECBA,HGFDCBA,BBBCEGH,ABDFFGG,GGFEDBA,BBGHCCG,ABDEFGH,GGGFDBA,HGFDCBA,ABCDEGH,ABCEFGH
109,ABCEFGH,AADFGGG,EFGGFBA,HGFECBA,ABCEFGH,ABEGGFF,ABEHGEE,EFGGFCA,HGFECBA,ABCEFGH,ADGHFDB,HGFEDBA
110,HHFDBBB,DBDCBHH,BCCBFFH,CADDFEH,ABEFGGG,HFFEEBA,HGFDABB,AEFFGED,GFGDACE,DBGHGBC,GDEGEAD,HFFECCA
111,HHGECAA,GECCAFH,ADFCDEH,ABDEGHF,ABDFEGH,BDCBCHF,DGEABEH,GGGEBAB,GGGEBBA,HGEDCCA,GFGECAC,GFDBCDD
112,BBCCDGH,FGGGDAA,GECABHF,BACDFGH,ABDFGGG,HGFDDBA,BBBCEGH,HGEDDBA,HGFECBA,HDAEDDF,ACBDGGH,HGDBDBC
113,ACDCFHG,BFHGEBA,ACFHGEB,DABFGGF,ACGGEDG,ABCEFGH,GHGDBBA,FEBABFH,GGDAADF,GFCABFH,GGGEBAB,CEGHFBA
114,ABEFHFE,HGFEBAB,DBCBEFH,ABFDEHE,HDBBDEB,HGFCABD,ABCGHGF,HGEBCCB,HGFDBBB,ACEGGED,ABDDEGH,ABEEGGG
115,HGGEBAA,ACBDEGH,ACDEHFE,CFCDDDH,ABCEFGH,ABCEEGH,GFFABCF,EGGFDAA,HHEEBBA,HGDDACD,DGEEGCA,GFHEBBB
116,GGCEABF,BECGFFB,GEDADDG,GGGECBA,BBBDFGH,GHGECBA,CABCFHH,ABCEFGH,ACFGGBE,HGEEBCB,BACDEGH,EBCGHDB
117,BEHGCBC,HHFDCBA,HGECBBB,ABCEEGH,ABDFGGG,GGGFBAC,FGHFCBA,ACFFGFF,HGFECBA,HHFEBBA,ADEGBFG,ABCEFGH
118,BCBBEHH,DBABFHG,HFCAAEG,EGGFDBA,DAADGGG,ABCDFGH,FGHFCBA,HGCABEE,ECABDGH,DFGGFBA,AACFGGG,AACFGHF
119,ABCEFGH,CFFBBGF,FCACFFG,HGFECBA,ABBDFGH,ACDGFGF,AADGGFF,EGGGEBA,HGFECBA,BBBDFGH,ACEDDFH,ACCFGHC
120,HGFCBBB,GGGEABB,BBBDEHH,ABCDDGH,DGHFECA,HGFECBA,BBBDFGH,HGFECBA,HGEBACF,ACFFFFG,ABFGHDC,HEBCCGD
121,FEDGGBA,ABDFHGF,EEAAEHG,GGFBAED,HFCABEG,ABCEFGH,HGFDCBA,FDCBBFH,CBACGGH,GHGDDAA,AECCEHG,HGFDBBC
122,HGFECAA,BCBCFGH,ACBCEHH,CFHGFCA,GGGEDBA,CABDFGH,ACFHGDB,ECBADGH,ABDEFGH,GHGEBAB,HGEDDBA,HGBCDBC
123,AEHGEDA,ECDBDEH,ABDFGGF,HGGECBA,CBBCFGH,ABDEGGG,DFHGDBA,GGFEDBA,HGDBBCF,ABCEFGH,GGGEBBA,HGBBDFC
124,HGFDBBB,FGGBADD,AECCFGG,BBBCGGH,ABDEFGG,EFFGGCA,GCBFHEA,HFBDECB,HFBABEH,BBFHHDB,DCBGHDD,GFEDFDA
125,AACFGGH,HFGFDAA,HEBFGCB,FDBABFH,ABDEFGH,FFFGFBA,HGECBBB,DCCBBGH,ABBDFGH,ADDBEGH,EAEEGFD,CEDEADH
126,AACFGGG,HGFEBAB,HFFFDBA,HGEBACE,ABCEFGH,ABCEFGH,HHFDBBA,CABCFHH,BBBDFHH,ABFGEDG,GHECCCB,ADDEGEG
127,ABEGEGG,BFDFGDB,FGGFCBA,HGECBBC,ABCEFGH,ABDFGGG,GHGDBBA,GGGFEBA,HGEBABE,ABDEFGH,EFGHBBA,HFDEGBA
128,HHGECAA,CBFBEHF,FDGDBBG,ABCGFFH,FGHDDBA,ABEFGGF,ABCEFHG,FGGFDBA,HHEDCCA,CACGEDH,HGGDBBB,FFGFDBA
129,EFGGEBA,HGECBBB,ABCDFGH,FGGFDBA,BBBDFGH,ABCEFGH,HHFDBBA,HGFEDBA,BBBDFGH,AEGGFDB,HGEDCBA,ABCDEFH
130,AADFFGH,AADFFFH,CFGFGBA,HGFECBA,ABCEFGH,ABEGGFF,AADHGFE,EGGGEBA,HGFECBA,ABCEFGH,CGGGFAA,GGGDCCA
131,CFHGECA,HGFDBBB,DCCBCFH,BBBDFHH,ABCEFGH,GGGEBAA,ABEHGED,AADFGGG,HGFEDBA,HGFDCBA,BCBDEGH,ABCDFGH
132,ABDEFGH,FHGCACC,FFGGCDA,HGECCBB,ABCEFGH,ABCFGGG,HHFCBBB,GGFFDBA,BBBCDGH,ABDEFGH,HGCBBCG,BBEHFBF
133,GCADHEC,BDGHECB,ACGGCEG,EBACDGH,HDADBDG,HGCCBBE,DABGGCF,FEBBBFH,HECBADG,HFCBBDG,HFBABEG,GDAACGH
134,ABDFGGG,HGFDCBA,HGFDBBA,BBCDFGH,ABDFGGG,HGFEDBA,EDHFABF,ABDFGGG,GGGFDBA,HGECBBB,ABCDFGH,ABCEFGH
135,CGGGFCA,HGFDBBA,HGBBBED,EBBBDFH,ABCEFGH,HHGDABC,GHGECBA,ABEFGGF,HGFDCCA,HHDDBDA,EEFCAEG,ABCDFGH
136,ACEEDGH,DHFEACB,CBAGFGF,HHFDCBA,BBBCEGH,ABCFFGH,ADGHGCB,HGFECBA,HGECABD,AABFFGH,GFFFBBB,ADGEFGB
137,ABBDFGH,BBGHFCB,GGFEDBA,GGGECBA,GEBABFH,ABCEFGH,DFHGDBA,HGFEDBA,DBBCEGH,ABCEFGH,GDFFCDA,FGGGEAA
138,ABCEGGH,GFEGEBA,GFGFDCA,HGEDBBB,ABCDFHH,ACFFFGE,ABGHEDD,EDGHEBA,HGFDCBA,ABBDFGH,ABDEGGH,FEEGEEA
139,ABDEFHG,EGHGDAA,EGHFDAA,GFAADFH,ABEFGGG,BACEFGH,HGECBBC,ABDFGGF,EABEGHD,BADGHGC,BACEGHG,BACFHGD
140,GGFDAAE,ABBEGGG,ACCCEHG,FGGFEBA,HGFECBA,ABCEFGH,ABDGHFE,HGFECBA,DBBCEGH,ABDEFGG,HGFECAA,HGFDDBA
141,CABGGGE,DBACFHG,ECBBEHH,FDABCFH,GDGGDAB,DFHEABG,HFBBDEC,ABBEGHG,BCCBDGH,HFCCACF,HHGDBBB,ABFFFHE
142,GGGFBBA,GEBFEBE,HFGCBBD,DCDCCDH,ABDEFGH,ABDEFHG,HGDBBBD,AAFGFFG,HGFEDBA,HGCDCCA,FBCBDFH,EFGEBCB
143,BBBDFGH,ACDFHEE,GFGDFBA,HGFECBA,FDAADGH,ABDEFGH,ABEHGFD,HGFEDBA,HGDBACF,ABCDEGH,AEFFFBF,HGEEDBA
144,HHFCBBB,FHGDABB,BEGGDBE,AEHHECB,DDDBBGH,DCBCCFH,BCCBDHH,EGGFCBA,GGFFDBA,HGFDCBA,GGDBEFA,DEBDHEB
145,HGFDBAB,ABECGGG,FAGGEBC,HEFEDAA,ABDDFGH,ABDFGGG,DBDDCGH,EGGFDCA,HGGEDBA,HGECCBB,FFGGBBC,GGFDDCA
146,DFGGEBA,HHFDCBA,HGCABDG,AACEFGH,ABCEFGH,HGGFBAB,GGHECBA,ABEFFGG,HGFECBA,GGGEDBA,GHGECAB,ABCEGGH
147,ABDFGGE,GFCABFG,GEBABFH,HGFDCBA,ABFGGFE,GFAACFH,HHFCBBB,ABCFHGE,FCCACFH,GGFBDDA,ECABEGH,FCABFGG
148,ADGGGCD,HGFDBBA,BACEGGG,HFDBACG,BEGHFBA,HGFDBAB,GHGDBAC,ABCFGGG,HGECCDA,ABCEFGH,HHFCABD,BCFHGBB
149,HGGEBBB,ABBDEHH,ABCEFGH,HGFECBA,DBABEGH,ABCEFGH,GHGECBA,HGFEDBA,GCBACFH,ABCEFGG,HGFFBBA,GFCBADH
150,ECDBBHG,ABEFHGE,GFCGGBA,ADCFHFD,HHFDCBA,ABCEFGH,BEHHEBA,HGECBAC,ABFFDEH,FBDGHCB,CADGHCD,FFGGDAA
151,ABDFGGG,HGFECBA,HGFDCBA,BBBDFGH,ABDFFGG,HGFECBA,CCGGBCF,ABDFGGG,GGGFDBA,HGEDCBA,ABCDFGH,ABCEFGH
152,BDDCBFH,GFCABFH,HGFECBA,ABCEGGG,HFDBBCE,ABCEFGH,FHGCDBA,CEHECAG,GHGEBAC,HFAACFG,DBACFGH,HEAACFG
153,CCBBGHF,ABFHGEC,CBACEGH,HHFDBBB,ABFGFFF,ABDFHGE,HGECBBB,AGHDCDE,ABCFGGF,HGEBBBD,CFGGFCA,ACFHGDB
154,HHFDBBA,BCBBFHH,HFCBCED,HBEDEEB,ABDFFFG,ABDEFGH,HHFDBBB,AEECBGH,GGGFCBA,HGFEDAA,BEHEBCF,HGEBDEB
155,AADFGGG,HGFDCBA,HGFDCBA,BBBDEGH,ABDFFGG,HGFECBA,FEGDABF,ABDEFGG,GGGFDBA,HGECBBB,ABCDFGH,ABCEFGH
156,GHGEBBB,FGCCBDF,GHFBABE,BBBDEFH,ABCEFGH,HGFFEAA,FEABCGG,DFADGFF,HGFDCBA,GFCECGA,ACDEFDH,BBEFGCF
157,BBCEEFH,DDGCBDH,ABCCGGG,HFGECAA,HFDBCBC,BABDFGH,ABCEHGG,HGFECBA,HGFCBBB,ABBEEGH,GHGDBBA,HBEDGCC
158,GGGDABC,GEDCDDE,HGEFCBA,BEECCFH,ABDEFGG,FEGGGBA,CBBCEGH,HGEFCBA,HGFDCBA,HECEEBC,AEAEFGG,ACEFHEC
159,ABCEFGH,HGGECAA,HGECABC,BBBDEGH,ABFFFFF,FGGGAAB,ABFHGEC,DAADGHF,HGFDCBA,HHFCCBB,ACDEEFH,ABCEFGH
160,BACDFHH,BBADGHG,BAFGGFB,GHFDDBA,HGDBACE,ABCEFGH,GHGECBA,HGFEDBA,ABCDEGH,BBBDFGH,HGEFDAB,GFGEDDA
161,GGGEBAA,FHCEEBC,DHGBBCE,CCEDAGH,ABCEFGG,DBCDEHE,HFBACCF,ABEEFFH,FFGFEBA,HHEDCBA,EGGCDAD,ACDEEGH
162,CDEEHFA,GHGDBAB,FHGCACE,CACGFFG,ABDFFGH,CDFGGDA,HGCBBCD,BCBCEHH,ABDEFGH,EABEGHD,BDGHGCA,ABDGHFE
163,FEDHEAB,GGGECAB,HGBACDE,CDGGFDA,HFBDEEA,EDDBBFH,BDGHFCA,CABEFGH,ABBEFGH,CBBGFCH,HGFDDAA,ABBDEGH
