,0,1,2,3,4,5,6,7,8,9,10,11
405,ACCCGHG,BACFHGF,HGFDBAB,AFHGECB,ABBEGGH,AACEFGH,HHEDBBB,EEGGEBA,ABDFGGD,DBACEGH,FGGGEBA,ABCEGHG
406,FFGFFCA,HHFCABE,HGEBABE,CCBCDGH,BBAEGGG,HFBABEG,HGEBABD,ABEFGGF,BDGGGDA,FGGFCAA,CEGHFBA,ABEGGDG
407,HGECACC,BBBBEHH,ABCEGHG,ADGEGFB,HGFECBA,HGDBBCD,ABDGHFD,HGDBABF,ABCEFGH,ABFEEGG,HFFFEAA,HHECCBB
408,BBCECFH,GEBACGH,HGFDBAB,BFHGECA,ABCEGGG,BADDEGH,GGGECBA,DCBCCGH,HFDAADG,FGGFDBA,ABDFGGF,EBACEGH
409,ABBDGHG,BCGHGCB,BABDGHG,HGFDBAC,GHFDBAC,ABCEFGH,ABFHFDD,HGEBBBB,HFCBBCF,GGGEBAB,EEABDGH,GDABDGG
410,EDFDEAG,HHFCBBC,FCBAGGF,AAEFEGH,ABBEFGH,FGGFDBA,BBBCEHH,HGGECBA,HGFDCBA,HGCFBDC,CBBCEGH,FGHDCBB
411,HGFDCBA,CEGGFCB,ACECEGH,ACGGFEC,HGFEDBA,ABCDFGH,HGFDCBA,ABDEFGH,FFGGEBA,HGFFCAA,GGCBAEG,DEHGEBA
412,ABDFGGG,HGFDCBA,HGFDBBA,BBBDEGH,ABDFGGG,HGFECBA,EEHFABE,ABDFGGG,GGGFDBA,HGECBBB,ABCEFGH,ABCEFGH
413,DBAGHEE,GGCABFF,FDBABFH,HGDABDD,EHHEBAB,ACGGBDF,CADFBGH,CBADGHG,CCBBEHH,GCBACGH,GDABCFH,GDABDGH
414,ABDFGGG,HGFECBA,HGFDCBA,BBBDEGH,ABDFGGG,HGFECBA,DCHGABF,ABDFGGG,GGGFDBA,HGEDCBB,ABCDFGH,ABCEFGH
415,HGEEDCA,AEGGFDE,BBCCEHH,ABCEGHG,FFGFEBA,HGFECAA,ABCDFGH,HGFECBA,HFECBBD,ACFEFFG,ADEHGBF,HEBCCFC
416,HGEBACF,AEGGFDB,DBADEFH,BEGGGCA,HGFDBAB,ABCEFGH,DFHGDBA,HGFECBA,ABCEFGH,BFHGECA,BBDCDFH,GGFFBBA
417,ABDFFGH,HGFFCAA,HEDFEBA,HGGEBAA,ABCDEGH,ACCCEGH,ACGHFDB,CABDEHH,BBBCFHH,HFDDDBA,FGHDBBB,AADDGGH
418,ABFGFGD,HGDBDBB,ADDDDGH,GHGDCAB,BABEGGH,ABDEFGH,EGHGCBA,HGFEDAA,HFCACDH,DGGGCAB,GFGAADE,DACGFDG
419,ABDEGEH,GDAAFGF,FCABDGH,HDAEFDB,AAEGGFE,ADGGFEA,AABEGHG,BABEGGH,HGFECBA,HGCCBBD,EGGAADG,FBACGHE
420,DEDBAGH,HGGFCBA,HGGFCAA,HHFCBBB,ABCDFGH,ABCEFGH,HHFDCBA,ABCEFGH,ABDFGGF,DDGGGCA,HHEBCCA,ABEFFGE
