,0,1,2,3,4
106,ADDCC,CAACD,DCBAB,DDBAB,ABCDC
107,CDCAC,AACDD,DDBAA,CDDAA,CDABB
108,BDCBA,AABDD,DBAAD,DDCBA,AACDD
109,AACDD,DCAAC,AACDD,DCAAC,DDCBA
110,DABBC,AABDD,DDBAB,DDBAA,DDBAB
111,DBAAC,ABCCD,AACCD,DDCAA,DBBAD
112,BCDBA,AACDD,BAADD,DDBAA,ACDCA
113,ABDCC,DABBC,BDDBA,CCBBB,DACCA
114,CDCAA,BDDAA,AACDC,DCABB,AACDD
115,DAABC,CAACD,ACCBD,DDCAA,CCBAD
116,BADDA,CCAAD,DBABC,ACDCB,BDCDA
117,DDCAA,AABDD,CBDAC,DDCAA,AABCD
118,ACBDB,ADCAB,BCDCA,BABDD,ACBDA
119,ACDDC,DCAAB,AABDD,DDBAB,AADDB
120,DBBBA,ABCDD,CBACD,DAACC,BCBBB
121,AABDD,DDCAA,CDDBA,ABCDC,DDCAA
122,DAABC,CDCBA,ABDDB,ABDDC,DCAAC
123,CBABD,DDBAB,ACDCB,CAACD,DBBAB
124,DBBAB,AABDD,DDBBA,CAADD,CDCBA
125,ACDCB,BAADD,DDBAA,AABDD,BCCCA
126,BDDBA,CBABD,CDDAA,AACDD,BACDC
127,ABCDC,DBABD,CDDAA,CBACD,DCCBA
128,DABBC,ABCDC,AABDD,DCBAB,DCBAA
129,DDBAB,CDBAC,CDDAA,AABDD,DBABD
130,ABCCD,DCAAC,AABDD,DCAAC,DDCBA
131,DDBAA,ABCDD,DABCC,DDCAA,AABCD
132,BDDBA,CBABD,CDCAA,BABCD,CBCDA
133,BCCBC,CACCC,CBACD,CCCBA,BBBCC
134,BDDBA,AABDD,DCAAC,DDCAA,AACDD
135,DDBAA,BAACD,DBCAB,DDBAA,AABDD
136,ABDCC,DCBAB,ABDDB,DBABD,BACCC
137,ABDDC,DDBAA,ACDCA,BABCD,CCCBA
138,ACDCC,DBABC,AACCD,DCAAC,BCDDA
139,ACDAC,AABDD,DDBAB,DBCAC,ACBDD
140,BABDD,DDCBA,ABCDC,BABDD,DDBAA
141,CDADA,BABDC,DDBAA,CBDBA,CABDC
142,DCBBA,BAACD,CDBAB,DDCAA,ABCBD
143,ABCDD,DCBAA,ABCDC,CAACD,CCDCA
144,DBBAB,ACCCC,ABBCD,DDCBA,CBBCC
145,CABCD,DCBAB,ABCCD,DDCAA,DCCAA
146,DDCAA,AABCD,DBCAC,DDCAA,AABDD
147,CDCBA,ACBCD,CDDAB,DBBDA,ABBDD
148,DDCAA,CAADC,DBCAC,DCAAC,BACCD
149,CAACD,DDBAA,BCDBA,BAACD,DCAAC
150,AACDC,CCDCA,ABDDB,ABCDD,CCDBA
151,BDDBA,AABDD,DBAAD,DDCAA,AACDD
152,BBBBD,AADCB,ACDCB,CDBAB,ACCCB
153,BCCDA,CCACD,DDBAA,BCDBA,CBBCB
154,CAADC,BAACD,BDDAB,CDCAA,DCBAB
155,CDDBA,AABDD,DCAAC,DDCAA,AACDD
156,DBBBB,AABDD,DCABB,DDBAA,ABCCC
157,ABCCD,DDCAA,AACDD,DBABD,DCAAB
158,DBBBB,AABDD,BBACD,DDCAA,ABCDB
159,CDDAA,AABDD,BACDB,DDBAA,AABDD
160,ABCDD,DDCAA,BDDBA,AABDD,DCCCA
161,DCBBA,AABDD,DDAAC,DDCAA,BABDD
162,CCCAC,AABDD,DDBAA,ABDBD,BABDD
163,DDCAA,CDDAA,AADDB,AACDD,BAACD
164,BDDAB,CABDC,CBADC,BDCAC,ABCDC
165,CACCC,CDABC,AABDD,DDCAA,BABCD
166,DCCAB,ACDBA,AACDC,DBAAD,BBBCD
167,DAACD,CCCCA,ABDDB,ABCDD,DCAAC
168,CBABD,BBCDA,DBBAD,ACDBC,DCAAB
169,CDCAB,DCABC,DCCAC,DDAAC,BABDD
170,DBABB,ABBDD,DCAAC,DAACC,ABCCD
171,BDDBA,AABDD,DCAAC,DDCAA,AACDD
172,CDCBA,ABBCD,BBDCA,DDCBA,ACADD
173,DCBBA,ABCDD,DBABD,CABDB,ACCBD
174,CAACD,CCCDA,DABDB,ABDCC,DCABB
175,ADDBB,ABACD,BAACD,DDBAA,AACDC
176,DCBAA,AABDD,BBADD,DDBAA,CCCAB
177,ABBCD,DDBAB,BCDBA,CAACD,DCABA
178,DAACC,CDDBA,BDCAB,ACDCC,DCDAA
179,ADCBA,AABDD,ABCCD,DDCAA,CABBD
180,DDBAB,DDBAB,BCDBA,CAACD,DBAAC
181,DBABB,AACDD,BABCD,DDCBA,DBBAC
182,BDDBA,DDAAB,BDDBA,AABCD,BAADD
183,BDDBA,AABDD,DBAAD,DDCAA,AACDD
184,CDDBA,AABDD,DCAAC,DDCAA,AACDD
185,CDBCA,AADDC,CBADC,BDCBA,AADCD
186,DABCC,AADDC,DDBAB,DCBBB,BDDAB
187,BDDBA,DCAAC,ABDDB,ABCCC,BBACD
188,CCCAB,BBACD,BCBBD,DDCAA,ABDCB
189,CAACD,DDCBA,ABCDC,ABDDC,DDBAB
190,CCDBA,BABDD,CADDB,DDBAA,CABCD
191,ABCDD,DDCBA,ABCDC,CAACD,CCCCA
192,CDCAA,ABBCD,DACBB,CDCAA,ACADD
193,DDBAC,DCABD,CDDAA,AABDD,DCBAA
194,ABBDC,BBACD,CCCAC,DCCBA,ABCDB
195,AACCD,DCAAB,ABDDC,DCABD,DCCBA
196,ACCCD,DCAAB,AAADD,DDBAB,CCAAD
197,BCCDA,AABDC,DDCAA,CDDAA,CCACC
198,ADBDA,DADBB,DAABD,BDCCA,BCACD
199,DCAAD,DCAAC,CDDAA,BAACD,DBABC
200,ABDBC,BBBDC,BCDBA,BCCAC,DADAB
201,ACBDB,BABCD,DDCAA,BBADC,ADDAC
