,0,1,2,3,4
463,CCCAB,AABDC,DBBAB,CBDBA,BCBDA
464,DBBBB,ABDDC,CAADD,CABCD,CBCAD
465,BBACD,DCDBA,CDCAA,AACDC,DDBAB
466,ABCDD,DDBAB,ABDCB,CAACD,CCDCA
467,ACDCA,ABACD,CDBAA,DDBBA,AACDC
468,DCBAA,ABBCD,CCABD,DDCBA,BABCD
469,DCBAA,AABDD,CBDAB,DDBAA,AABDD
470,CDCBA,AACDD,DCAAC,DDCAA,AACDD
471,ABBDD,CDCBA,ACDCA,AACDD,CDDAA
472,DBABC,CDDBA,ACDCA,ABCDD,DCBAB
473,BBCBD,AADCD,BAADD,DCCAB,DACCB
474,CDCAA,CCADB,BBABD,DDAAB,ADACD
475,ABCDC,BABCD,BDCAB,DDCBA,ABCDB
476,DCBAA,AABDD,CDBAB,DDCAA,CBBBD
477,DDCAA,ACDCB,AADDB,DBABD,AABDD
478,DCBAA,ABCDD,DCAAC,DDCAA,AABDD
479,CDDBA,AABDD,DCAAC,DDCAA,AACDD
480,DBBAB,AACDD,DCAAD,DDBAB,BCCCA
481,DAABC,BAACD,DDBAB,DDCAA,BCDAB
482,DABCB,DCCBA,BCDBA,ACDCB,ABDCB
483,DBBBA,ABDDB,AACDC,BABCD,CCCAB
484,AABCD,DCAAB,BCDBA,CAACD,DCBBA
485,BAADD,DDCBA,ABCDC,AACDD,DCBAB
486,DDBBA,BBDCB,BAADD,CDAAC,BACCD
487,CDDBA,CBACD,ACDBA,ACDBA,BAACD
488,BDCBA,CDDBA,AABDD,DDBAA,AABDD
489,DDCAA,AACDD,CABDC,DDBAA,AABDD
490,DCBBA,AACDD,DCABA,DDBAA,BADCB
491,ACDBB,DDABA,AACDC,DCAAC,AABDD
492,DCBAA,AACDD,DCAAB,DDCAA,AACDC
493,ABBDD,DDCBA,AABDD,DCABC,CDDAA
494,DDBAA,AABDD,DBABD,CDDAA,BABCD
495,CACCD,AACDD,CDCAA,DDAAB,CDDBA
496,AADDB,DCAAC,CDDAA,BABDD,CCDCA
497,CCDBA,BBACD,AACCD,DCBAA,AABDD
498,BCABD,BADDC,BDDAA,BDCAC,ACDBC
499,DDCAA,DDAAC,BCDBA,CAACD,DBABC
